id,url,fund_name,company,category_obj_id,rate,return_percent,risk,fee,net_assets,delete_flag
3716,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=200705310A,HSBC アジア･プラス(3カ月決算型),HSBC,46,2,-6.06,21.89,2.06,904,0
3717,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2017031005,東京海上･米国政策関連株式ファンド(H有) 『愛称：アメリカン･スピリッツ』,東京海上,36,2,-1.68,21.9,1.95,123,0
3718,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2007053109,HSBC アジア･プラス,HSBC,46,2,-5.99,21.95,2.06,1716,0
3719,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011051104,ピクテ･G･インカム株式＜資源国＞(毎月),三菱UFJ国際,38,2,-4.71,21.96,1.96,181,0
3720,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013090401,Rogge世界ハイブリッド証券Fペソ(毎月),東京海上,3,2,1.91,21.97,1.69,546,0
3721,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2010052805,フィリピン株ファンド,キャピタルAM,53,2,-12.44,21.98,1.61,650,0
3722,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2009022301,マニュライフ･カナダ株式ファンド,マニュライフ,41,2,0.68,21.98,1.95,1629,0
3723,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=201002240A,野村 新エマージング債券投信(豪ドル)年2回,野村,16,2,-7.07,22.01,1.82,352,0
3724,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011013102,アムンディ･欧州ハイ･イールド債券(レアル),アムンディ,21,2,-11.69,22.02,1.78,12382,0
3725,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2009102106,野村 北米REIT投信(豪ドルコース)年2回,野村,40,2,-5.12,22.24,1.64,45,0
3726,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013032704,朝日ライフ・MSCI・グローイング・アセアン株式F,朝日ライフ,46,2,-8.83,22.26,1.49,1794,0
3727,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=200410290C,ピクテ･バイオ医薬品ファンド(毎月)H無,ピクテ,41,2,4.97,22.26,2.09,70176,0
3728,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011102701,野村 米国ハイ･イールド債券(通貨)毎月,野村,21,2,-6.46,22.26,1.82,7133,0
3729,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=201106301C,世界インフラ関連好配当株式(米ドル) 『愛称：インフラプラス(米ドル)』,三井住友TAM,38,2,-3.4,22.27,1.8,23470,0
3730,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013103105,ニッセイ 世界リートオープン(年2回決算型),ニッセイ,40,2,-4.86,22.28,1.65,555,0
3731,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=200803280B,東京海上･東南アジア株式ファンド,東京海上,46,2,-7.47,22.28,1.76,1408,0
3732,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2009082701,野村 世界業種別投資シリーズ(金融),野村,38,2,-5.0,22.29,1.65,3227,0
3733,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011042704,米国高利回り社債･ブラジル･レアルF(毎月),三菱UFJ国際,21,2,-11.91,22.32,1.67,289,0
3734,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011102702,野村 米国ハイ･イールド債券(通貨)年2回,野村,21,2,-6.42,22.32,1.82,1021,0
3735,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2010092706,米国ハイ･イールド債(通貨選択)レアル(毎),三菱UFJ国際,21,2,-12.02,22.33,1.67,2389,0
3736,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015060802,シュローダー･ユーロ株式F為替H無,シュローダー,30,2,-4.72,22.35,1.75,452,0
3737,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2016082503,野村 ハリス外国株式バリュー戦略A(SMA･EW),野村,32,2,-4.16,22.37,1.1,2240,0
3738,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2017031003,USインフラ株式ファンドH無(年2回決算型) 『愛称：ｱﾒﾘｶﾝｲﾝﾌﾗ 為替ヘッジなし(年2回決算型)』,三井住友TAM,41,2,-4.09,22.39,1.68,2,0
3739,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015070602,米国小型バリュー株ファンド Bコース(H無) 『愛称：アメリカン･エンジェル』,アセマネOne,41,2,-3.2,22.51,2.02,7581,0
3740,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2003103001,野村 リアルグロース･オープン,野村,50,2,7.08,22.57,1.65,13627,0
3741,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2010063005,DWS欧州ハイ･イールド債券F(レアル)(毎月),ドイチェ,21,2,-11.94,22.67,1.63,15116,0
3742,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=200004280A,インベスコ ジャパン･エンタープライズ,インベスコ,50,2,2.62,22.68,1.87,751,0
3743,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013073111,米国好配当プレミアム戦略F(毎月)株式&通貨,新生,41,2,-8.62,22.7,1.99,1543,0
3744,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011092105,三菱UFJ 新興国高利回り社債＜資源国＞(毎月) 『愛称：グローイング･スター』,三菱UFJ国際,21,2,-7.7,22.86,1.88,1285,0
3745,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2016031702,欧州REIT･リサーチ(年2回決算型),三井住友TAM,26,2,-6.91,22.88,1.67,0,0
